Descriptor,Values
NssS,-0.0012971205110706568
NaaS,0.0010086738173691323
NdssS,0.009756396228135011
NddssS,0.006214929322975682
NsCl,-0.010484223333715514
NsBr,-0.0013003218280318168
SsCH3,0.019799416657489743
SdCH2,-0.005441017423449934
SssCH2,0.010651634015576894
StCH,-0.0005458958630264465
SdsCH,-0.0059616528397422874
SaaCH,0.0347815252267516
SsssCH,0.0035332362479927326
StsC,-0.0163649779536289
SdssC,0.009326329723628568
SaasC,0.03840608417628655
SaaaC,0.01794296058918987
SssssC,-0.004338271016669282
SsNH2,0.008111192490593555
SssNH,0.029681703067632847
SaaNH,0.12174837744989564
StN,-0.015728906289866673
SdsN,0.0033610973183655843
SaaN,0.1145272836018969
SsssN,0.013582524042174748
SaasN,0.04144846257791435
SsOH,0.02543712874587195
SdO,0.01026039531381051
SssO,0.022119685902101782
SsF,-0.0024979306418155267
SdS,0.005241484686380082
SssS,-0.00079834099209658
SaaS,0.0007449967524882362
SdssS,1.8050331556368189
SddssS,0.2320889369974477
SsCl,-0.010154273573307726
SsBr,-0.0013210007944695346
MAXaaCH,0.029604783164250748
MAXaasC,0.04416062814137245
MINaaCH,0.05776052231887796
MINaasC,0.008790225043642685
ECIndex,-0.2921844674604017
fragCpx,0.017016479664210937
fMF,0.04702695180305039
nHBAcc,0.022500252988041147
nHBDon,0.038503553734060114
IC0,0.011173310909520229
IC1,0.04572080735159245
IC2,0.04473458658436957
IC3,0.056893717667636956
IC5,0.030162222931711113
TIC0,0.007592432605815436
TIC1,0.01352366249229675
TIC2,0.01485737014027011
TIC5,0.012115686171143114
SIC0,0.011784777084694387
SIC1,0.030353759925235035
SIC2,0.05672759689019813
SIC3,0.05810550559770444
SIC4,0.06743925065830414
SIC5,0.06228951130128246
BIC0,0.012232587351301838
BIC1,0.03249049890091538
BIC2,0.05805825741311077
BIC3,0.06518671630070383
BIC4,0.06947920647480643
BIC5,0.06012187638320876
CIC0,0.015681456235842273
CIC1,0.0317574405122798
CIC2,0.030732478559439613
CIC3,0.02480684260370003
CIC4,0.025563939538206792
CIC5,0.031880178610690146
MIC0,0.0029180233067385153
MIC1,0.012447074983502837
MIC2,0.015615312708268991
MIC5,0.011806363774157003
ZMIC0,0.015445752659589917
ZMIC1,0.02206993679385061
ZMIC2,0.020969510799229152
ZMIC3,0.007563577122075227
ZMIC4,0.004039634775857781
ZMIC5,0.004036276784806336
Kier1,0.011865456404013486
Kier2,0.019413025609079426
Kier3,0.024403497750987935
FilterItLogS,0.030720540075103386
VMcGowan,0.013119640205329297
LabuteASA,0.011613407714030632
PEOE_VSA1,0.04074204176619367
PEOE_VSA2,0.04530719758067625
PEOE_VSA3,0.031740940084286295
PEOE_VSA4,0.011610157155740763
PEOE_VSA5,0.010322600016470784
PEOE_VSA6,0.013588872604104685
PEOE_VSA7,0.02530625123737318
PEOE_VSA8,0.03532885162545796
PEOE_VSA9,0.0205091689984207
PEOE_VSA10,0.0315501441634809
PEOE_VSA11,0.023582669977550208
PEOE_VSA12,0.015414600081950058
PEOE_VSA13,0.012923824041773502
SMR_VSA1,0.019002916209204246
SMR_VSA2,-0.01613287190844126
SMR_VSA3,0.07140880045168041
SMR_VSA4,0.013338923849876005
SMR_VSA5,0.021138915610379616
SMR_VSA6,0.020451212957583675
SMR_VSA7,0.03807464938433558
SMR_VSA9,0.048164854787693834
SlogP_VSA1,0.03584701848682892
SlogP_VSA2,0.018565567505105518
SlogP_VSA3,0.02963840075463664
SlogP_VSA4,0.0009058969001809469
SlogP_VSA5,0.01589058972391344
SlogP_VSA6,0.04779348004523376
SlogP_VSA7,-0.01057414103503046
